Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
28,Artiodactyla,Hippopotamidae,Choeropsis liberiensis,Pygmy Hippopotamus,EN,33.17906211,5.611054779,Limited,Africa,Côte d'Ivoire; Guinea; Liberia; Sierra Leone,,http://www.iucnredlist.org/apps/redlist/details/10032/0
29,Primates,Indridae,Indri indri,Indri,EN,33.00886339,5.60606272,Active,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/10826/0
30,Primates,Galagidae,Galagoides rondoensis,"Rondo Dwarf Galago, Rondo Bushbaby",CR,15.61252133,5.58274543,None,Africa,"Tanzania, United Republic of",,http://www.iucnredlist.org/apps/redlist/details/40652/0
31,Dasyuromorphia,Myrmecobiidae,Myrmecobius fasciatus,"Numbat, Banded Anteater",EN,32.0385503,5.577116612,Active,Australasia,Australia (Western Australia),,http://www.iucnredlist.org/apps/redlist/details/14222/0
32,Chiroptera,Vespertilionidae,Pharotis imogene,"Thomas's Big-eared Bat, New Guinea Big-eared Bat",CR,15.302246,5.563891612,None,Oceania,Papua New Guinea,,http://www.iucnredlist.org/apps/redlist/details/16887/0
33,Chiroptera,Pteropodidae,Aproteles bulmerae,Bulmer's Fruit Bat,CR,15.29611383,5.563515386,None,Oceania,Papua New Guinea,,http://www.iucnredlist.org/details/1933/0
34,Diprotodontia,Phalangeridae,Phalanger matanim,Telefomin Cuscus,CR,15.26573074,5.561649208,None,Oceania,Papua New Guinea,,http://www.iucnredlist.org/apps/redlist/details/16851/0
35,Diprotodontia,Potoroidae,Potorous gilbertii,Gilbert's Potoroo,CR,15.14476359,5.554184483,Active,Australasia,Australia,,http://www.iucnredlist.org/apps/redlist/details/18107/0
36,Didelphimorphia,Didelphidae,Marmosops handleyi,Handley's Slender Mouse Opossum,CR,14.89316215,5.538477686,None,Americas,Colombia,,http://www.iucnredlist.org/apps/redlist/details/12820/0
37,Primates,Lemuridae,Varecia variegata,"Black-and-white Ruffed Lemur, Ruffed Lemur",CR,14.71875348,5.527443211,Active,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/22918/0
