Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
872,,,Ammospermophilus nelsoni,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",EN,3.744334224,3.636392653,,,,,
873,,,Taphozous australis,"Coastal Sheath-tailed Bat, Coastal Tomb Bat, Southern Sheath-tailed Bat",NT,17.96358673,3.635667833,,,,,
874,,,Rhogeessa mira,Least Yellow Bat,VU,8.478511363,3.635321636,,,,,
875,,,Presbytis comata,"Javan Surili, Grizzled Leaf Monkey, Java Leaf Monkey, Javan Grizzled Langur",EN,3.737640923,3.634980858,,,,,
876,,,Cynomys parvidens,"Banks Flying Fox, New Britain Naked-backed Fruit Bat, Utah Prairie Dog",EN,3.721981124,3.631669983,,,,,
877,,,Gazella spekei,Speke's Gazelle,EN,3.719751092,3.631197605,,,,,
878,,,Sylvisorex lunaris,"Moon Forest Shrew, Crescent Shrew",VU,8.417270764,3.62883968,,,,,
879,,,Reithrodontomys tenuirostris,Narrow-nosed Harvest Mouse,VU,8.364592238,3.623230155,,,,,
880,,,Callithrix flaviceps,Buffy-headed Marmoset,EN,3.671112409,3.620838788,,,,,
881,,,Gerbillus hoogstraali,Hoogstraal's Gerbil,VU,8.342221033,3.620838383,,,,,
882,,,Trachypithecus phayrei,"Phayre's Leaf-monkey, Phayre's Langur, Phayre's Leaf Monkey",EN,3.663071859,3.61911597,,,,,
883,,,Dendrolagus ursinus,"Vogelkop Tree Kangaroo, Black Tree-kangaroo, Vogelkop Tree-kangaroo, White-throated Tree Kangaroo",VU,8.315443238,3.617967947,,,,,
884,,,Pseudomys oralis,Hastings River Mouse,VU,8.312751552,3.617678957,,,,,
885,,,Genetta cristata,Crested Genet,VU,8.26081916,3.612086868,,,,,
886,,,Myosorex longicaudatus,Long-tailed Forest Shrew,VU,8.223653488,3.608065577,,,,,
887,,,Chaetomys subspinosus,"Bristle-spined Rat, Thin-spined Porcupine",VU,8.221128683,3.607791808,,,,,
888,,,Graphiurus nagtglasii,,LC,35.83565093,3.606466151,,,,,
889,,,Myosorex zinki,Kilimanjaro Mouse Shrew,VU,8.199540643,3.605447914,,,,,
890,,,Punomys kofordi,,VU,8.198232464,3.605305703,,,,,
891,,,Punomys lemminus,Puna Mouse,VU,8.198232464,3.605305703,,,,,
892,,,Heteromys teleus,,VU,8.190234993,3.604435868,,,,,
893,,,Proechimys decumanus,Pacific Spiny Rat,VU,8.177083108,3.603003771,,,,,
894,,,Colobus satanas,Black Colobus,VU,8.161649688,3.601320621,,,,,
895,,,Grammomys minnae,Ethiopian Thicket Rat,VU,8.151666822,3.60023039,,,,,
896,,,Reithrodontomys microdon,Small-toothed Harvest Mouse,VU,8.147891535,3.599817781,,,,,
897,,,Proechimys poliopus,Gray-footed Spiny Rat,VU,8.124024916,3.597205396,,,,,
898,,,Uromys hadrourus,"Pygmy White-tailed Rat, Masked White-tailed Rat, Thornton Peak Melomys",VU,8.115546195,3.59627569,,,,,
899,,,Tarsius syrichta,"Philippine Tarsier, Phillipine Tarsier",NT,17.23059742,3.59624854,,,,,
900,,,Lagothrix lagotricha,"Common Woolly Monkey, Humboldt's Woolly Monkey, Woolly Monkey",VU,8.098804256,3.594437366,,,,,
901,,,Hemibelideus lemuroides,Lemuroid Ringtail Possum,NT,17.18230992,3.59359632,,,,,
902,,,Aepeomys reigi,Reig's Aepeomys,VU,8.084015195,3.592810658,,,,,
903,,,Natalus major,Hispaniolan Greater Funnel-eared Bat,NT,17.16015353,3.592377008,,,,,
904,,,Cabassous chacoensis,Chacoan Naked-tailed Armadillo,NT,17.15018466,3.591827915,,,,,
905,,,Okapia johnstoni,Okapi,NT,17.12253536,3.590303392,,,,,
906,,,Mus vulcani,"Javan Shrew-like Mouse, Volcano Mouse",VU,8.058799799,3.590031,,,,,
907,,,Podoxymys roraimae,Roraima Mouse,VU,8.021809408,3.585939275,,,,,
908,,,Cynomys mexicanus,"Mexican Prairie Dog, Mexican Prairie Marmot",EN,3.506488821,3.58495986,,,,,
909,,,Spermophilus perotensis,Perote Ground Squirrel,EN,3.503670384,3.584334247,,,,,
910,,,Gulo gulo,Wolverine,NT,16.99747288,3.583378533,,,,,
911,,,Hybomys lunaris,"Moon Striped Mouse, Ruwenzori Hybomys",VU,7.96329753,3.579432548,,,,,
912,,,Pygeretmus zhitkovi,"Greater Fat-tailed Jerboa, Zhitkov's Jerboa",NT,16.8973621,3.577800514,,,,,
913,,,Rousettus bidens,"Manado Rousette, Manado Fruit Bat, Manado Fruit-bat",VU,7.935648002,3.576343031,,,,,
914,,,Sminthopsis leucopus,White-footed Dunnart,VU,7.934205517,3.576181588,,,,,
915,,,Lagorchestes hirsutus,"Rufous Hare Wallaby, Mala, Ormala, Rufous Hare-wallaby, Western Hare Wallaby, Western Hare-wallaby, Wurrup",VU,7.930426432,3.575758508,,,,,
916,,,Rhynchonycteris naso,Proboscis Bat,LC,34.64699382,3.573664818,,,,,
917,,,Dyacopterus brooksi,Brooks's Dyak Fruit Bat,VU,7.890809755,3.571312493,,,,,
918,,,Parascaptor leucura,"White-tailed Mole, Assamese Mole, Indian Mole",LC,34.54182569,3.570710191,,,,,
919,,,Proechimys goeldii,Goeldi's Spiny Rat,VU,7.881857625,3.570305088,,,,,
920,,,Lonchophylla hesperia,Western Nectar Bat,VU,7.880686548,3.570173229,,,,,
921,,,Kerodon rupestris,Rock Cavy,LC,34.30353621,3.563983135,,,,,
922,,,Nyctimene keasti,Keast's Tube-nosed Fruit Bat,VU,7.809485752,3.562123428,,,,,
923,,,Pedetes capensis,"Spring Hare, Springhaas, Springhare",LC,34.2262795,3.561792381,,,,,
924,,,Pedetes surdaster,East African Spring-hare,LC,34.2262795,3.561792381,,,,,
925,,,Ptilocercus lowii,"Pen-tailed Treeshrew, Pen-tailed Tree Shrew",LC,34.22591794,3.561782117,,,,,
926,,,Dasyprocta coibae,Coiban Agouti,VU,7.776066634,3.558322677,,,,,
927,,,Spermophilus atricapillus,Baja California Rock Squirrel,EN,3.387223122,3.558138022,,,,,
928,,,Hypsiprymnodon moschatus,Musky Rat Kangaroo,LC,34.09166738,3.557963706,,,,,
929,,,Lagothrix poeppigii,"Poeppig's Woolly Monkey, Red Woolly Monkey, Silvery Woolly Monkey",VU,7.762151737,3.556735868,,,,,
930,,,Sminthopsis butleri,Butler's Dunnart,VU,7.747738503,3.555089571,,,,,
931,,,Pteropus melanotus,"Blyth's Flying Fox, Black-eared Flying Fox, Christmas Island Flying Fox",VU,7.74635803,3.55493175,,,,,
932,,,Mus mayori,"Mayor's Mouse, Highland Rat, Mayor's Mouse",VU,7.743388189,3.55459214,,,,,
933,,,Maxomys whiteheadi,"Whitehead's Sundaic Maxomys, Whitehead's Spiny Rat",VU,7.742654084,3.554508176,,,,,
934,,,Crocidura hispida,"Andaman Spiny Shrew, Andaman Shrew",VU,7.728594246,3.552898692,,,,,
935,,,Otomys occidentalis,Western Vlei Rat,VU,7.697513867,3.549331584,,,,,
936,,,Platalina genovensium,Long-snouted Bat,NT,16.3783655,3.548373251,,,,,
937,,,Lemniscomys mittendorfi,"Mittendorf's Lemniscomys, Mittendorf's Striped Grass Mouse, Mittendorf's Lemniscomys",VU,7.682005216,3.547546879,,,,,
938,,,Myotis vivesi,"Fish-eating Bat, Fish-eating Myotis",VU,7.672743217,3.546479505,,,,,
939,,,Panthera leo,"Lion, African Lion",VU,7.662539293,3.545302262,,,,,
940,,,Canis simensis,"Ethiopian Wolf, Simien Fox, Simien Jackal",EN,3.323787763,3.543573357,,,,,
941,,,Crocidura kivuana,Kivu Shrew,VU,7.643965026,3.543155754,,,,,
942,,,Mustela felipei,Colombian Weasel,VU,7.623956499,3.540838331,,,,,
943,,,Phaenomys ferrugineus,Rio De Janeiro Arboreal Rat,VU,7.622135368,3.540627138,,,,,
944,,,Scapanulus oweni,Gansu Mole,LC,33.42550192,3.538797625,,,,,
945,,,Galagoides orinus,"Mountain Dwarf Galago, Amani Dwarf Galago, Uluguru Bushbaby",NT,16.20578007,3.538392559,,,,,
946,,,Heterocephalus glaber,Naked Mole Rat,LC,33.35861157,3.536852688,,,,,
947,,,Vampyressa melissa,Melissa's Yellow-eared Bat,VU,7.561228301,3.533538034,,,,,
948,,,Lasiurus insularis,Cuban Yellow Bat,VU,7.558377815,3.533205026,,,,,
949,,,Eliurus petteri,Petter's Tuft-tailed Rat,VU,7.556071677,3.53293553,,,,,
950,,,Barbastella barbastellus,Western Barbastelle,NT,16.10127425,3.532300159,,,,,
951,,,Ctenomys magellanicus,Magellanic Tuco-tuco,VU,7.494422381,3.525704119,,,,,
952,,,Zaedyus pichiy,Pichi,NT,15.97607067,3.524951925,,,,,
953,,,Phocarctos hookeri,"New Zealand Sea Lion, Hooker's Sea Lion, Hooker's Sealion, New Zealand Sealion",VU,7.454035963,3.520938317,,,,,
954,,,Lestodelphys halli,Patagonian Opossum,LC,32.81070541,3.52077748,,,,,
955,,,Taphozous theobaldi,"Theobold's Bat, Theobald's Tomb Bat",LC,32.80675,3.520660487,,,,,
956,,,Pseudochirops albertisii,"D'Albertis's Ringtail, D'Albertis Ringtail Possum",NT,15.85685567,3.517904619,,,,,
957,,,Crocidura eisentrauti,Eisentraut's Shrew,VU,7.410131877,3.515731516,,,,,
958,,,Leopardus tigrinus,"Oncilla, Little Spotted Cat, Little Tiger Cat, Tiger Cat",VU,7.355736741,3.509242699,,,,,
959,,,Eulemur collaris,"Collared Brown Lemur, Red-collared Lemur",VU,7.344543563,3.507902221,,,,,
960,,,Crocidura manengubae,Manenguba Shrew,VU,7.342352419,3.507639602,,,,,
961,,,Rattus hoogerwerfi,"Hoogerwerf's Sumatran Rat, Hoogerwerf's Rat",VU,7.342303655,3.507633757,,,,,
962,,,Aonyx cinerea,"Asian Small-clawed Otter, Oriental Small-clawed Otter, Small-clawed Otter",VU,7.318556784,3.504783137,,,,,
963,,,Megaerops wetmorei,"White-collared Fruit Bat, Mindanao Fruit Bat",VU,7.314619714,3.504309738,,,,,
964,,,Megaerops kusnotoi,Javan Tailless Fruit Bat,VU,7.312222399,3.504021371,,,,,
965,,,Crocidura orientalis,Oriental Shrew,VU,7.282440671,3.500432053,,,,,
966,,,Crocidura macmillani,Macmillan's Shrew,VU,7.281055666,3.500264817,,,,,
967,,,Leopardus guigna,"Guiña, Chilean Cat, Kodkod",VU,7.276228444,3.499681724,,,,,
968,,,Trachypithecus germaini,"Indochinese Lutung, Germain's Langur, Germain's Silver Langur, Indochinese Silvered Langur",EN,3.132117033,3.498231416,,,,,
969,,,Eidolon dupreanum,Madagascan Fruit Bat,VU,7.256177604,3.497256082,,,,,
970,,,Trachypithecus hatinhensis,"Hatinh Langur, Stripe-headed Black Langur",EN,3.125253849,3.496569099,,,,,
971,,,Crocidura zimmermanni,"Cretan Shrew, Cretan White-toothed Shrew, Zimmermann's Shrew",VU,7.246107866,3.496035676,,,,,
972,,,Eulemur albifrons,"White-fronted Brown Lemur, White-fronted Lemur",VU,7.238751618,3.495143191,,,,,
973,,,Trachypithecus francoisi,"François's Langur, Francois's Langur, François's Leaf Monkey, Tonkin Leaf Monkey, White Side-burned Black Langur",EN,3.110762774,3.493050143,,,,,
974,,,Tamias bulleri,Buller's Chipmunk,VU,7.209222203,3.491552542,,,,,
975,,,Nyctimene minutus,"Lesser Tube-nosed Fruit Bat, Lesser Tube-nosed Bat",VU,7.182036237,3.488235409,,,,,
976,,,Mosia nigrescens,"Lesser Sheath-tailed Bat, Dark Sheath-tailed Bat",LC,31.68130004,3.48680305,,,,,
977,,,Galidictis fasciata,"Broad-striped Mongoose, Malagasy Broad-striped Mongoose",NT,15.339269,3.486718532,,,,,
978,,,Ammodorcas clarkei,"Clarke's Gazelle, Dibatag",VU,7.139430265,3.483014547,,,,,
979,,,Tamandua mexicana,Northern Tamandua,LC,31.5168564,3.481758613,,,,,
980,,,Tamandua tetradactyla,"Collared Anteater, Lesser Anteater, Northern Tamandua, Southern Tamandua, Tamandua",LC,31.5168564,3.481758613,,,,,
981,,,Pteropus ornatus,Ornate Flying Fox,VU,7.100887998,3.478268046,,,,,
982,,,Callosciurus nigrovittatus,Black-striped Squirrel,NT,15.17728288,3.476755147,,,,,
983,,,Mus fernandoni,Ceylon Spiny Mouse,EN,3.043803371,3.476627219,,,,,
984,,,Blarinella quadraticauda,"Asiatic Short-tailed Shrew, Northern Short-tailed Shrew, Sichuan Short-tailed Shrew",NT,15.1724095,3.476453854,,,,,
985,,,Parascalops breweri,Hairy-tailed Mole,LC,31.30000729,3.475067456,,,,,
986,,,Petrodromus tetradactylus,"Four-toed Sengi, Four-toed Elephant Shrew, Four-toed Elephant-shrew",LC,31.29066056,3.474778042,,,,,
987,,,Bos mutus,"Wild Yak, Yak",VU,7.062876521,3.473564742,,,,,
988,,,Mogera tokudae,"Sado Mole, Tokuda's Mole",NT,15.12392131,3.473451146,,,,,
989,,,Oryzorictes hova,"Hova Mole Tenrec, Fossorial Tenrec, Hova Rice Tenrec, Mole-like Rice Tenrec",LC,31.23368671,3.473012077,,,,,
990,,,Crocidura baluensis,Kinabalu Shrew,VU,7.007505645,3.466673669,,,,,
991,,,Pteropus faunulus,Nicobar Flying Fox,VU,7.006265362,3.466518767,,,,,
992,,,Lutrogale perspicillata,"Smooth-coated Otter, Indian Smooth-coated Otter",VU,7.00457345,3.466307421,,,,,
993,,,Dorcopsis luctuosa,"Grey Dorcopsis, Gray Dorcopsis",VU,7.003837816,3.466215515,,,,,
994,,,Marmota sibirica,"Mongolian Marmot, Siberian Marmot, Tarbagan Marmot",EN,2.997743658,3.465171658,,,,,
995,,,Ichthyomys pittieri,Pittier's Crab-eating Rat,VU,6.97893436,3.463099225,,,,,
996,,,Rattus stoicus,Andaman Rat,VU,6.946322941,3.45900366,,,,,
997,,,Ctenomys azarae,Azara's Tuco-tuco,VU,6.944093518,3.45872306,,,,,
998,,,Crocidura allex,"East African Highland Shrew, Highlands Shrew",VU,6.933532345,3.457392738,,,,,
999,,,Myonycteris relicta,"East African Little Collared Fruit Bat, Bergmans's Collared Fruit Bat",VU,6.929461586,3.456879499,,,,,
1000,,,Crocidura glassi,Glass's Shrew,VU,6.927586927,3.456643054,,,,,
1001,,,Nycteris tragata,Malayan Slit-faced Bat,NT,14.83692553,3.455491453,,,,,
1002,,,Pithecia albicans,"White Saki, Buffy Saki, Buffy Saki, White Saki",VU,6.918271017,3.455467237,,,,,
1003,,,Otomys lacustris,Tanzanian Vlei Rat,VU,6.907984758,3.454167339,,,,,
1004,,,Lestoros inca,Incan Shrew Opossum,LC,30.59427893,3.452976058,,,,,
1005,,,Myotis scotti,Scott's Mouse-eared Bat,VU,6.895567297,3.452595861,,,,,
1006,,,Neusticomys venezuelae,Venezuelan Fish-eating Rat,VU,6.876319342,3.450155067,,,,,
1007,,,Procavia capensis,"Rock Hyrax, Rock Dassie",LC,30.45529732,3.448567405,,,,,
1008,,,Ctenomys latro,Mottled Tuco-tuco,VU,6.853484581,3.44725169,,,,,
1009,,,Tadarida petersoni,Peterson's Free-tailed Bat,VU,6.851242628,3.446966177,,,,,
1010,,,Ctenomys lami,,VU,6.840292559,3.445570511,,,,,
1011,,,Potamogale velox,"Giant Otter-shrew, Giant Otter Shrew",LC,30.33288253,3.444668106,,,,,
1012,,,Heterohyrax brucei,"Bush Hyrax, Hoggar Hyrax, Yellow-spotted Rock Hyrax",LC,30.26342649,3.442448932,,,,,
1013,,,Furipterus horrens,Thumbless Bat,LC,30.2569337,3.44224123,,,,,
1014,,,Thyroptera discifera,Peter's Disk-winged Bat,LC,30.24048067,3.441714711,,,,,
1015,,,Thyroptera tricolor,Spix's Disk-winged Bat,LC,30.24048067,3.441714711,,,,,
1016,,,Tarsipes rostratus,Honey Possum,LC,30.12880184,3.438133495,,,,,
1017,,,Ctenomys pundti,,VU,6.779665816,3.437807744,,,,,
1018,,,Dendrohyrax arboreus,"Southern Tree Hyrax, Eastern Tree Dassie, Eastern Tree Hyrax, Southern Tree Dassie",LC,30.09473275,3.43703844,,,,,
1019,,,Dendrohyrax dorsalis,"Western Tree Hyrax, Western Tree Dassie",LC,30.09473275,3.43703844,,,,,
1020,,,Echinosorex gymnura,"Moonrat, Gymnure",LC,30.00828463,3.434254415,,,,,
1021,,,Ctenomys bergi,,VU,6.729363137,3.431320832,,,,,
1022,,,Cacajao calvus,"Bald Uakari, Bald-headed Uacari, Red Uakari, Red-and-white Uacari",VU,6.728358292,3.43119082,,,,,
1023,,,Spermophilopsis leptodactylus,Long-clawed Ground Squirrel,LC,29.63229104,3.422054715,,,,,
1024,,,Crocidura lucina,"Lucina's Shrew, Moorland Shrew, Morrland Shrew",VU,6.653287746,3.421429687,,,,,
1025,,,Macaca ochreata,Booted Macaque,VU,6.652025306,3.42126472,,,,,
1026,,,Crocidura fumosa,Smoky White-toothed Shrew,VU,6.646408292,3.420530394,,,,,
1027,,,Dipodomys nitratoides,"Fresno Kangaroo Rat, San Joaquin Kangaroo Rat",VU,6.62842448,3.418175695,,,,,
1028,,,Tadarida johorensis,Northern Free-tailed Bat,VU,6.617838251,3.416786996,,,,,
1029,,,Pecari tajacu,Collared Peccary,LC,29.32708464,3.412041196,,,,,
1030,,,Peromyscus simulus,"Nayarit Deer Mouse, Nayarit Mouse, Sinaloan Deer Mouse",VU,6.570560028,3.410561406,,,,,
1031,,,Neotoma phenax,Sonoran Woodrat,NT,14.1376218,3.410330336,,,,,
1032,,,Elaphodus cephalophus,Tufted Deer,NT,14.11321802,3.408716907,,,,,
1033,,,Choeroniscus periosus,Greater Long-tailed Bat,VU,6.536474276,3.406048831,,,,,
1034,,,Proteles cristata,Aardwolf,LC,29.11644048,3.405071218,,,,,
1035,,,Allactaga euphratica,Euphrates Jerboa,NT,14.05563108,3.40489926,,,,,
1036,,,Mormoops blainvillei,Antillean Ghost-faced Bat,LC,29.08027756,3.403869726,,,,,
1037,,,Mormoops megalophylla,"Ghost-faced Bat, Peters's Ghost-faced Bat",LC,29.08027756,3.403869726,,,,,
1038,,,Vombatus ursinus,"Common Wombat, Coarse-haired Wombat",LC,29.06930077,3.403504743,,,,,
1039,,,Acerodon leucotis,"Palawan Flying Fox, Palawan Fruit Bat",VU,6.514730953,3.403159582,,,,,
1040,,,Acerodon mackloti,"Sunda Fruit Bat, Sunda Flying-fox",VU,6.492987939,3.400262003,,,,,
1041,,,Callicebus medemi,"Colombian Black-handed Titi, Medem's Collared Titi, Medem's Titi Monkey",VU,6.486798414,3.399435619,,,,,
1042,,,Bison bonasus,"European Bison, Wisent",VU,6.485729845,3.399292882,,,,,
1043,,,Cercocebus atys,"Sooty/white-naped Mangabey, Red-capped Monkey, Sooty Mangabey",VU,6.475643652,3.397944584,,,,,
1044,,,Cercocebus torquatus,"White-collared Mangabey, Collared Mangabey, Red-capped Mangabey, Sooty Mangabey",VU,6.475643652,3.397944584,,,,,
1045,,,Nyctalus furvus,Japanese Noctule,VU,6.466632375,3.396738439,,,,,
1046,,,Diphylla ecaudata,Hairy-legged Vampire Bat,LC,28.80395036,3.394640947,,,,,
1047,,,Perameles gunnii,Eastern Barred Bandicoot,NT,13.85913751,3.391762177,,,,,
1048,,,Saimiri vanzolinii,"Black Squirrel Monkey, Black-headed Squirrel Monkey",VU,6.42533112,3.39119164,,,,,
1049,,,Scalopus aquaticus,Eastern Mole,LC,28.66692982,3.390032951,,,,,
1050,,,Scotonycteris ophiodon,Pohle's Fruit Bat,VU,6.384046389,3.385616141,,,,,
1051,,,Rhinophylla alethina,Hairy Little Fruit Bat,NT,13.69126597,3.380400346,,,,,
1052,,,Alouatta belzebul,"Red-handed Howler Monkey, Red-handed Howling Monkey",VU,6.343874848,3.380160973,,,,,
1053,,,Trachypithecus johnii,"Nilgiri Langur, Black Leaf Monkey, Hooded Leaf Monkey, Indian Hooded Leaf Monkey, John's Langur, John's Langur, Nilgiri Black Langur, Nilgiri Leaf Monkey",VU,6.338902751,3.379483704,,,,,
1054,,,Rhinolophus madurensis,Madura Horseshoe Bat,EN,2.657132381,3.37612088,,,,,
1055,,,Octomys mimax,Viscacha Rat,LC,28.24889426,3.37584177,,,,,
1056,,,Felis nigripes,"Black-footed Cat, Small-spotted Cat",VU,6.306981791,3.375124662,,,,,
1057,,,Tenrec ecaudatus,"Common Tenrec, Tailess Tenrec",LC,28.20167756,3.374226158,,,,,
1058,,,Rattus xanthurus,"Northeastern Xanthurus Rat, Yellow-tailed Rat",VU,6.284870346,3.372094003,,,,,
1059,,,Macaca siberu,Siberut Macaque,VU,6.277280663,3.371051618,,,,,
1060,,,Meriones sacramenti,Buxton's Jird,VU,6.262066243,3.368958756,,,,,
1061,,,Hipposideros lekaguli,"Large Asian Leaf-nosed Bat, Large Asian Roundleaf Bat",NT,13.50402991,3.367573716,,,,,
1062,,,Dolichotis salinicola,"Chacoan Mara, Dwarf Mara, Dwarf Patagonian Cavy, Dwarf Patagonian Hare",LC,27.93710768,3.365124774,,,,,
1063,,,Dasypus hybridus,Southern Long-nosed Armadillo,NT,13.46608699,3.364954262,,,,,
1064,,,Arctonyx collaris,Hog Badger,NT,13.46484738,3.364868568,,,,,
1065,,,Juliomys rimofrons,Cleft-headed Juliomys,VU,6.232394728,3.364864563,,,,,
1066,,,Zenkerella insignis,"Cameroon Scaly-tail, Flightless Scaly-tailed Squirrel",LC,27.76653671,3.359212792,,,,,
1067,,,Hipposideros turpis,"Lesser Leaf-nosed Bat, Lesser Great Leaf-nosed Bat, Lesser Roundleaf Bat",NT,13.36276716,3.357786425,,,,,
1068,,,Rheithrosciurus macrotis,Tufted Ground Squirrel,VU,6.176349402,3.357085175,,,,,
1069,,,Chaetodipus goldmani,Goldman's Pocket Mouse,VU,6.175548555,3.356973574,,,,,
1070,,,Lepus yarkandensis,"Yarkand Hare, Yarkland Hare",NT,13.35109288,3.356973279,,,,,
1071,,,Allactaga vinogradovi,Vinogradov's Jerboa,NT,13.3426659,3.356385905,,,,,
1072,,,Peromyscus zarhynchus,Chiapan Deer Mouse,VU,6.160177456,3.354829126,,,,,
1073,,,Callicebus ornatus,"Ornate Tití Monkey, Ornate Titi Monkey",VU,6.150046837,3.353413268,,,,,
1074,,,Bauerus dubiaquercus,Van Gelder's Bat,NT,13.25680642,3.350381617,,,,,
1075,,,Neotoma palatina,"Bolano's Woodrat, Bolaños Woodrat",VU,6.102114802,3.34668696,,,,,
1076,,,Trachypithecus geei,"Gee's Golden Langur, Gee's Golden Langur, Golden Leaf Monkey",EN,2.549827267,3.346340487,,,,,
1077,,,Neotetracus sinensis,Shrew Gymnure,LC,27.36334182,3.34509753,,,,,
1078,,,Macrophyllum macrophyllum,Long-legged Bat,LC,27.36130112,3.345025579,,,,,
1079,,,Gazella cuvieri,"Cuvier's Gazelle, Edmi",EN,2.544764725,3.344913331,,,,,
1080,,,Gazella leptoceros,"Rhim, Slender-horned Gazelle",EN,2.544764725,3.344913331,,,,,
1081,,,Rhinolophus maclaudi,Maclaud's Horseshoe Bat,EN,2.54302661,3.344422878,,,,,
1082,,,Caenolestes fuliginosus,Silky Shrew Opossum,LC,27.33163267,3.343978943,,,,,
1083,,,Hylomys suillus,"Short-tailed Gymnure, Lesser Gymnure",LC,27.2838639,3.342291462,,,,,
1084,,,Pteropus ocularis,"Seram Flying Fox, Ceram Fruit Bat, Moluccan Spectacled Flying Fox, Seram Flying-fox",VU,6.07076518,3.342263064,,,,,
1085,,,Eptesicus guadeloupensis,"Guadeloupe Big Brown Bat, Guadeloupean Big Brown Bat",VU,6.069618746,3.342100914,,,,,
1086,,,Podogymnura truei,"Mindanao Gymnure, Mindanao Moonrat, Mindanao Wood Shrew",LC,27.22727204,3.340288604,,,,,
1087,,,Sylvilagus mansuetus,San Jose Brush Rabbit,NT,13.08849145,3.338505435,,,,,
1088,,,Prometheomys schaposchnikowi,Long-clawed Mole Vole,NT,13.08172513,3.338025047,,,,,
1089,,,Rusa marianna,"Philippine Deer, Philippine Brown Deer",VU,6.034430501,3.337111096,,,,,
1090,,,Spermophilus mohavensis,Mohave Ground Squirrel,VU,6.028066895,3.33620605,,,,,
1091,,,Rusa unicolor,"Sambar, Sambar Deer",VU,6.003190276,3.33266016,,,,,
1092,,,Cercopithecus erythrotis,"Red-eared Monkey, Red-eared Guenon, Russet-eared Guenon",VU,5.971089862,3.328065938,,,,,
1093,,,Rucervus duvaucelii,"Barasingha, Swamp Deer",VU,5.950862747,3.325160149,,,,,
1094,,,Przewalskium albirostris,"White-lipped Deer, Thorold's Deer",VU,5.943086032,3.32404071,,,,,
1095,,,Dymecodon pilirostris,True's Shrew Mole,LC,26.76316555,3.323710162,,,,,
1096,,,Urotrichus talpoides,Japanese Shrew Mole,LC,26.76316555,3.323710162,,,,,
1097,,,Cyttarops alecto,Short-eared Bat,LC,26.74948605,3.323217319,,,,,
1098,,,Muntiacus crinifrons,"Black Muntjac, Hairy-fronted Muntjac",VU,5.929062175,3.322018837,,,,,
1099,,,Dipodomys elator,Texas Kangaroo Rat,VU,5.922439874,3.321062652,,,,,
1100,,,Stenoderma rufum,Red Fruit Bat,VU,5.913162967,3.319721632,,,,,
1101,,,Sturnira thomasi,Thomas's Yellow-shouldered Bat,VU,5.88377906,3.315462144,,,,,
1102,,,Trachypithecus shortridgei,"Shortridge's Langur, Shortridge's Capped Langur",EN,2.437618917,3.314220598,,,,,
1103,,,Cercopithecus sclateri,"Sclater's Monkey, Sclater's Guenon, Sclater's Guenon, White-throated Guenon",VU,5.874324307,3.314087717,,,,,
1104,,,Noctilio albiventris,Lesser Bulldog Bat,LC,26.45824105,3.312666343,,,,,
1105,,,Noctilio leporinus,Greater Bulldog Bat,LC,26.45824105,3.312666343,,,,,
1106,,,Lepus castroviejoi,Broom Hare,VU,5.85250812,3.310909095,,,,,
1107,,,Lepus corsicanus,"Corsican Hare, Apennine Hare, Italian Hare",VU,5.85250812,3.310909095,,,,,
1108,,,Hipposideros pelingensis,Peleng Leaf-nosed Bat,NT,12.68899851,3.309739662,,,,,
1109,,,Cercopithecus erythrogaster,"White-throated Monkey, Red-bellied Guenon, Red-bellied Monkey, White-throated Guenon",VU,5.823576444,3.306678101,,,,,
1110,,,Pteropus lylei,Lyle's Flying Fox,VU,5.820720317,3.306259446,,,,,
1111,,,Calcochloris obtusirostris,Yellow Golden Mole,LC,26.25422281,3.305208475,,,,,
1112,,,Chodsigoa smithii,Smith's Shrew,NT,12.62504843,3.305057076,,,,,
1113,,,Cuniculus taczanowskii,Mountain Paca,NT,12.51398679,3.296872388,,,,,
1114,,,Lasiorhinus latifrons,Southern Hairy-nosed Wombat,LC,25.98457399,3.295265369,,,,,
1115,,,Geogale aurita,Large-eared Tenrec,LC,25.92427059,3.293028132,,,,,
1116,,,Macroscelides proboscideus,"Round-eared Elephant Shrew, Round-eared Sengi, Short-eared Elephant Shrew",LC,25.89271919,3.291855588,,,,,
1117,,,Isthmomys flavidus,Yellow Isthmus Rat,NT,12.42793403,3.290484347,,,,,
1118,,,Musonycteris harrisoni,Banana Bat,VU,5.665007604,3.283165456,,,,,
1119,,,Nelsonia neotomodon,"Diminutive Wood Rat, Diminutive Woodrat",NT,12.32510028,3.282796676,,,,,
1120,,,Rusa timorensis,"Javan Rusa, Javan Deer, Rusa, Rusa Deer, Timor Deer",VU,5.65728316,3.282005829,,,,,
1121,,,Capra nubiana,Nubian Ibex,VU,5.646709992,3.280416355,,,,,
1122,,,Microtus breweri,Beach Vole,VU,5.638134853,3.27912539,,,,,
1123,,,Cercopithecus diana,"Diana/roloway Monkey, Diana Guenon, Diana Monkey, Roloway Monkey",VU,5.632861069,3.278330606,,,,,
